,G_per_game,GS_per_game,MP_per_game,FG_college,FGA_college,FG%_college,3P_college,3PA_college,3P%_college,2P_college,2PA_college,2P%_college,eFG%_college,FT_college,FTA_college,FT%_college,ORB_college,DRB_college,TRB_college,AST_college,STL_college,BLK_college,TOV_college,PF_college,PTS_college,PER_college,TS%_college,3PAr_college,FTr_college,PProd,ORB%_college,DRB%_college,TRB%_college,AST%_college,STL%_college,BLK%_college,TOV%_college,USG%_college,OWS_college,DWS_college,WS_college,WS/40,OBPM_college,DBPM_college,BPM_college,POS_college,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT,PER_nba,TS%_nba,3PAr_nba,FTr_nba,ORB%_nba,DRB%_nba,TRB%_nba,AST%_nba,STL%_nba,BLK%_nba,TOV%_nba,USG%_nba,OWS_nba,DWS_nba,WS_nba,WS/48,OBPM_nba,DBPM_nba,BPM_nba,VORP,GP,GS,MP,FG_nba,FGA_nba,FG%_nba,3P_nba,3PA_nba,3P%_nba,2P_nba,2PA_nba,2P%_nba,eFG%_nba,FT_nba,FTA_nba,FT%_nba,ORB_nba,DRB_nba,TRB_nba,AST_nba,STL_nba,BLK_nba,TOV_nba,PF_nba,PTS_nba
G_per_game,1.0,0.5456325074693732,0.3078575310952055,0.2180673568971513,0.18818028334813486,0.034251420255703775,-0.027799602709239125,-0.001296820691579445,-0.024689865116443714,0.2353097392434083,0.24013504725987378,-0.011857931017690268,-0.05220611809199853,0.004089395506152037,0.07012010634738437,0.14736049660497674,0.20633755779659618,0.23725346582900547,0.2370271972652194,-0.012513545083568578,-0.07896746888482536,0.013390657806838176,-0.039166518263789654,0.021921132284277667,0.13583411079327998,0.01883126853859838,-0.08235174458186728,-0.10746365724226943,0.011264402312248198,0.5559197204605067,0.12565042858405356,0.0701656237428784,0.11134077363816397,-0.11949742618242039,-0.14545949608683378,-0.02382757022741354,-0.23032177236638207,-0.0019814947828783345,0.46747056969327855,0.508940745372449,0.5848323497146466,0.12408402710525902,0.1970623425939561,0.14678217370724903,0.23641066618790596,,0.03194963921428031,0.19000272738248614,0.21090587806953878,-0.07930272714480854,0.01770092503606424,0.0396765549850192,0.00015658969378288065,-0.11482527904233053,-0.04378255437153912,0.0897428510704357,-0.09089245893740211,-0.045570871195128405,-0.23971899120563162,-0.1353074516790848,,-0.07818988564787789,-0.06265412767206131,0.03406138205240959,-0.12048434068958881,-0.13804819715598932,-0.1044650768235588,0.0703363010031909,0.06591286922984688,0.04852948592914663,0.05669529540205965,-0.1247286732590498,-0.07424761697310862,-0.04358163438909482,-0.10040636807056709,-0.10329875611926422,-0.1789048929189898,0.0011527625947626303,-0.1372216102136948,-0.0863105783330492,-0.14457601690381608,-0.048188306422724946,-0.15714386824955343,-0.19235786247496575,0.06309896740179236,-0.13386692706418005,-0.15365824398672848,-0.1990989639649898,-0.1850959959421739,-0.03646123840602501,-0.23664974319732787,-0.22022121281540508,-0.1480295369283608,-0.12469055161950414,-0.10694677600545262,-0.11557014744896776,-0.13499208636655735,-0.10621055854739066,-0.06714185852645041,-0.08253123880740373,0.05047749617820753,-0.01210164193718751,0.010701735426780186,-0.18223386651977075,-0.16948170226975615,-0.05971195269997021,-0.18915463853211978,-0.21445746389701026,-0.20015111766569682
GS_per_game,0.5456325074693732,1.0,0.7415084122302065,0.5727411287885468,0.5335870876049709,0.024456184220809512,0.12342781910424407,0.13333897936275638,0.01603500081698573,0.489281090109914,0.5479444381295439,-0.1198726122866923,-0.048271735126846696,0.3903228253446754,0.45758225075042075,0.19333352726174918,0.2762969783812956,0.44853875977868785,0.4036291821217659,0.23517007366007325,0.1518629070913099,0.017177944779502113,0.4365914512560123,0.20584352102289538,0.5361375790031817,0.21444096570001087,0.0010799151955425072,-0.12908130168061716,0.1774876217034312,0.723813407391781,0.0789530144424137,0.1216164262490512,0.11273540224098245,0.1090363552989735,-0.07985522361562593,-0.1042877686178123,-0.03534565446511365,0.25530910551018754,0.566818128650332,0.4664226784098265,0.6472110278237708,0.20217654026631168,0.3618908577224149,-0.015526220420866346,0.27178119668267986,,-0.052176419326852255,0.06469510563301918,0.11056029411574046,-0.028941283886682805,-0.043902389343490666,-0.05706335624384261,0.0016864100479325392,-0.05612282264642564,-0.13480862736238514,-0.06207758658732241,0.035545986264707424,-0.05799235513388841,-0.11363529404327978,-0.15456119254831593,,-0.037950979638705584,-0.08257174407469979,-0.04006910386573525,-0.07701021331442692,-0.21912270429203268,-0.17899878429221025,0.04752773153643779,0.13554855917712708,-0.016228514967771925,0.04487724437614691,0.011203484612591724,0.046661272479018176,-0.11532715685017068,0.0005684147167170632,-0.13460111328764054,-0.022577314859317524,-0.026319076948632957,-0.02677941821893078,-0.0036530655742183574,-0.12853602928973726,-0.020452920755450934,-0.1274970619211847,-0.06332606715889677,-0.006014489848216604,-0.07337090244342162,-0.185497428347376,-0.2018845897279042,-0.18978982368305405,-0.04099170193573403,-0.2687942021170605,-0.24944837261842284,-0.23103212865050263,-0.11200748733769708,-0.09177552618926321,-0.1478454057763312,-0.19203281437233463,-0.11153397858031425,-0.09469156040935803,-0.09414177495312219,0.09171654724712133,-0.0890768154964165,-0.026851284331179136,-0.05289286477997908,-0.08632102815182506,-0.1732200875417617,-0.18915787451340976,-0.22427927088168564,-0.20860852861017767
MP_per_game,0.3078575310952055,0.7415084122302065,1.0,0.6801047093920803,0.752683180199666,-0.25631775965280146,0.43900799051559014,0.46016714527333685,0.18427915804519104,0.3893898289220974,0.5167864039380489,-0.3398466117838028,-0.2177641300302419,0.5151520068948242,0.5073778465287231,0.4349873357631372,0.014492564398016114,0.30533874554910384,0.19856644371249652,0.536862633535184,0.4738192620237807,-0.15902987297081778,0.5480433098878716,0.0831230099633384,0.7171768438904988,0.21641021525361348,-0.06583746123421945,0.1500041789824013,0.06232989946195619,0.7530295020000478,-0.2671511593597631,-0.13890623996417326,-0.20682967891921303,0.41576024598465255,0.2014287102450852,-0.292516876350661,-0.1162855144514957,0.3416609704189368,0.5925092164466895,0.3422903972459905,0.61733380988115,0.19847990931106577,0.455587507124222,-0.042132409999111754,0.32759472086267416,,-0.3728883448802559,-0.2412129029994431,-0.0380612547074993,-0.08488056572804936,-0.30706258855528,-0.37272641375643567,-0.18162157991496916,-0.18840947750404582,0.03919279817452405,0.1073707825785026,-0.0892025859165179,-0.041857088650522165,-0.18698608529315236,-0.18267272284400746,,-0.2126373573395195,-0.29107366418986375,-0.26958004266255003,0.0227604787865465,-0.23783633013026226,-0.037141171646452545,-0.07077377063994038,-0.12226284077535172,-0.3052562877916209,-0.24420931241254695,0.28390678422487414,0.26526671837710836,-0.2629129540145828,-0.053374621261429334,0.020770399092754264,0.1592973751033848,0.04921065334139709,0.1403399740591843,0.0314983515944724,0.10987176390252064,0.008023199749903849,0.10597179857225425,0.17295278674458311,0.08691300612142559,0.09656202804835054,0.1020022688321351,0.0239483539454583,0.062409043904687635,-0.15666121678825498,0.013877868707842425,0.0295401033952305,-0.09864548285470788,0.02143327360289737,0.07021911065051509,-0.26180472779694225,-0.24575968721633845,0.05537961825076944,0.03952010500425193,0.06859340676796645,-0.07970753128603233,-0.16644650454600077,-0.14445966359900747,0.26479887649395506,0.21118398334709193,-0.20708157735437702,0.019649983658876227,-0.2486605116547378,0.03039324924886615
FG_college,0.2180673568971513,0.5727411287885468,0.6801047093920803,1.0,0.899150484217271,0.09232309573654428,0.3230727758775469,0.3282411913376345,0.12227806060064365,0.7875718414605626,0.8245509339886807,0.02405711324317391,0.09725671503702576,0.6223277208628735,0.6232525356168046,0.37109720753920045,0.22044899111018407,0.4038376024272432,0.3506167483100766,0.2342002922610546,0.26663246562180026,0.006723001832024408,0.524377654113163,0.21905715064894732,0.9378772529699981,0.6431974187021363,0.18605288239318316,-0.06010686841496178,0.06820100727125536,0.8292858265331979,0.03499848981655137,0.08138825389356874,0.06909574149160008,0.20101706479521445,0.05309189884814068,-0.10180440469849,-0.26784672509742374,0.7714153302491492,0.703380357210944,0.23940468318090927,0.6591426220115933,0.4848693355920735,0.6439186569609355,-0.20205807710672802,0.38025371150449977,,-0.12155681955422401,-0.01482889819038613,0.06641018746133398,-0.041110460833959445,-0.15009602989115,-0.1768804635312338,-0.08005596642003211,-0.14677277147087844,-0.03655818232382662,-0.030762049707005128,0.014473390503208625,-0.07874744693128731,0.007161175986182799,0.018443400762899232,,-0.14213632347171998,-0.10402993174870467,-0.11311727105870062,0.14344182138226408,-0.016850941693908765,-0.019433867833688646,-0.10412650948299425,-0.011268465868048963,-0.12830639873995847,-0.08593462147612596,0.03748812945508054,-0.013907990445568856,-0.15379270270364032,-0.21177232524645234,0.1935427799330773,0.1942548927470728,0.06280068092750025,0.172068237145466,0.09793164589172652,0.21991202987258326,-0.19328549879040832,0.11158353742551376,0.18507529970999756,0.10331563312732696,0.11721766821770283,0.10633891765255754,0.16273316241523852,0.16827823549914922,-0.0034036549276093243,0.1384274774681255,0.1305336429830587,-0.024123740441416998,0.13063348058404942,0.15036157568661543,-0.07825329083819846,-0.015234417641943443,0.08133271284476047,0.06233773302296961,0.08983999127146686,0.017884715891368808,-0.010786514435204234,-0.001007022125917028,0.06241948895130762,0.036112584980675176,-0.10022319474752686,0.021843570816653973,-0.07117000965359871,0.1530648711762413
FGA_college,0.18818028334813486,0.5335870876049709,0.752683180199666,0.899150484217271,1.0,-0.33640725769600865,0.5860342009083981,0.621397093324512,0.2630348161987203,0.5157476544789886,0.6767371153746741,-0.34952439324053325,-0.2589022649159159,0.5978799418066867,0.5356401674835122,0.48336185879816107,-0.07144900290010711,0.20738215455075304,0.0985039611835749,0.4227446557700251,0.4125165138427792,-0.24334759221768515,0.5493005773572707,0.0977762071555983,0.9190941728267931,0.39909795191104924,-0.1072210547132933,0.2438451513584645,-0.12264534304076746,0.8249134507025899,-0.2854395814327589,-0.14364598704687795,-0.2187093092756578,0.39897657061735675,0.1963816068539369,-0.3400110697056457,-0.31213552119880805,0.7861632565843562,0.6091100150620232,0.15882700804963626,0.5513827087523738,0.2949168986582433,0.5548741637784993,-0.2174680205366,0.3027917913296502,,-0.37039994408779797,-0.1689915191906875,0.05325398426749662,-0.05185202441797878,-0.32898418169439825,-0.4260206687707583,-0.19944004149781414,-0.27163849311776417,0.059970301255130844,0.11053338958966616,-0.09016647246002056,-0.13539026961085654,-0.13804057150564697,-0.06914229045190416,,-0.28155896013397275,-0.31906733282351724,-0.3139768598970562,0.005419323498066696,-0.20319785882302063,0.16724152139191753,-0.26287731119577695,-0.27187630212092645,-0.3596804592167992,-0.34003719218807155,0.19972926517752077,0.1267606167354326,-0.3276693527024799,-0.1956151715891289,0.24983012982099817,0.12326503772355114,0.06194841622261624,0.11722908644559464,-0.08221896418464646,0.1846629511185212,-0.18843424146094512,0.08178073964816222,0.18498418100199523,0.1401107818873793,0.17235928620507104,0.20536640847246448,0.19555330867260684,0.26031703630434255,-0.2530196620641979,0.31431506692042216,0.3172875846822818,0.10671639507874704,0.07520579082396922,0.1455360337653948,-0.2981077325883308,-0.21140176469528899,0.09215028510801535,0.045700316070936664,0.19786777469655487,-0.22948297833123907,-0.16014253746650697,-0.19658814981220255,0.2129652406378652,0.1698738461902836,-0.24355884485177134,0.10349880203765557,-0.16875942750697057,0.20510012747403908
FG%_college,0.034251420255703775,0.024456184220809512,-0.25631775965280146,0.09232309573654428,-0.33640725769600865,1.0,-0.6332890386332667,-0.6940456001543791,-0.4035485358020164,0.5049758598015648,0.2268495092255133,0.8636995744005116,0.8217703547196649,-0.023014930821335575,0.12614952744808303,-0.32303592297831873,0.6356293617817815,0.3820869118927527,0.5199188490279243,-0.46669865212818934,-0.33335914902219227,0.6053851826258675,-0.09743233531363293,0.2972676994148304,-0.08100343967658638,0.4788504442705337,0.6527112714890637,-0.7108799000992766,0.44622647923015707,-0.1032724770984253,0.7442270199126428,0.5025329106958488,0.6546197577296282,-0.48728661672350676,-0.2991828939894226,0.6040259547403666,0.17697137108945235,-0.12006896406158571,0.09653690763112502,0.16408829342964062,0.14321287955174608,0.369051793519595,0.10357567975831682,0.11212094906607384,0.14444460050762986,,0.5899867772020109,0.4192651628934545,0.0947737987720109,0.038878604023146045,0.4692545616027018,0.6025159903626516,0.3120071662329717,0.30543917916661784,-0.1729438639951744,-0.3065554747705118,0.24802659147740824,0.09683487960177836,0.315894047067731,0.22198853241143285,,0.35198450807315235,0.5270516482246321,0.4759462508367962,0.31062709523514875,0.4454355271595665,-0.4525768745587441,0.4040505043824053,0.6229407362635211,0.5788450805691615,0.6235338378545636,-0.37335839472411364,-0.2824128208893775,0.48051718976927854,0.06242779157523905,-0.16358958683234004,0.14437387957484857,0.024233664054668938,0.12000496959115563,0.4067739576338303,0.03822195535430074,0.07109988889429315,0.0677883211857909,-0.000154006559725396,-0.09423158025323783,-0.11687063128880122,-0.23955448133269597,-0.09953925917349117,-0.24063334731202715,0.6050326662404154,-0.43208495282548776,-0.4544831281113727,-0.3047339219985004,0.11209089460946366,-0.012950942764356632,0.5554067835172328,0.47112500848673683,-0.04224311416895077,0.024770105975085974,-0.27905096766713,0.589466621349179,0.362976619438344,0.4713288686892239,-0.35448714090968503,-0.2819231124853308,0.39582200816626023,-0.17364489325957125,0.26606917609287895,-0.1445310240640322
3P_college,-0.027799602709239125,0.12342781910424407,0.43900799051559014,0.3230727758775469,0.5860342009083981,-0.6332890386332667,1.0,0.9850481706874167,0.6023580593869251,-0.3279359428837412,-0.18709801631345357,-0.43196507544443585,-0.16020403958352986,0.20470767130797896,0.018238362254786842,0.4972717064297804,-0.6468871849624088,-0.34385492301859055,-0.5004001954321476,0.45866155896647887,0.3147293450549625,-0.5903718623307134,0.1902937447292416,-0.2275302040720887,0.4934958422948937,-0.07213847302676676,-0.005307039256613298,0.8795515289338404,-0.42461380005066,0.3530977897484812,-0.7341440978315793,-0.551151320499409,-0.6676966403356346,0.44602036996879335,0.2163687466122499,-0.6019681234344364,-0.31216031047839937,0.3350157971010201,0.30400812884174727,-0.2300427203119167,0.14601276826685833,0.021606087084285235,0.4058232618729701,-0.26195235576493575,0.16184181798736946,,-0.6295752408567682,-0.34281845786754295,0.02783438481234039,-0.056338894967231136,-0.6066557144043351,-0.638475699103181,-0.45876831269028295,-0.34071448628697354,0.11743561322385353,0.29862042337531164,-0.17467142723126308,-0.14966608155701314,-0.25053932541016816,-0.11387725144692526,,-0.4455488349828942,-0.5452204967578875,-0.46078699044394544,-0.30325187295588785,-0.2939311341847177,0.5823136753755758,-0.551217353078872,-0.619867174455741,-0.6271499310905405,-0.6515685802655627,0.26094720953134615,0.132307191730188,-0.5328058248179816,-0.2568787897338053,0.14838624824475974,-0.03560716943085699,-0.1318394517146904,-0.07568274385119692,-0.35205246456179107,0.05636010000670862,-0.2485769574067382,-0.06476502793804745,0.030363297961132827,0.10528297262307723,0.0755766045867882,0.21923621449431197,0.11033260378920252,0.23902272682463915,-0.5411210296673367,0.5720168347759021,0.5665445241696829,0.4186898154068579,-0.1740048516203938,-0.07393002615953022,-0.46992581331737326,-0.278380605464876,-0.053929093683595296,-0.14371623143265436,0.4097020920295702,-0.579757646917218,-0.43965986672609403,-0.5214069265232566,0.2589629119745083,0.17376319739164953,-0.44669212757420257,0.061243005866975425,-0.3175368838430902,0.15232955724163444
3PA_college,-0.001296820691579445,0.13333897936275638,0.46016714527333685,0.3282411913376345,0.621397093324512,-0.6940456001543791,0.9850481706874167,1.0,0.5625298414631077,-0.31307565211545635,-0.15613742959330848,-0.46362527537866394,-0.25842767242363573,0.21416346636291214,0.033205566019546204,0.49703613183173506,-0.6469253140276494,-0.33622797035240637,-0.49607517757368363,0.4841595983578048,0.3691855556081606,-0.604202343048692,0.21209356849188757,-0.22675811952814262,0.49695069700925476,-0.09236441653974195,-0.09888441492319244,0.8818451011711489,-0.43828107580174075,0.38177264248463005,-0.7459931161237479,-0.5508819822915036,-0.6749840969550237,0.47531656190038246,0.2656517496426578,-0.6169801603625205,-0.3183917923897586,0.36442849248613923,0.29500973581429074,-0.20238019611497315,0.15121912308724067,-0.008678224877338185,0.37922277248404945,-0.24050938248554016,0.1538133538754504,,-0.654616788816464,-0.3507500226773807,0.03707063201106171,-0.0690992545861094,-0.6073278442942138,-0.6696714953181271,-0.4393112855609355,-0.34705731000428264,0.16126976980532284,0.32039785464133286,-0.18893935767702658,-0.1452386753767736,-0.28082197328906655,-0.1303406133160476,,-0.4404170888178164,-0.563825546551806,-0.49728050477330377,-0.3024743387450828,-0.3212886060226829,0.5881076011526931,-0.5397972533768917,-0.6463780465960244,-0.6454754299588522,-0.6740561774812283,0.28150242422310673,0.17499095182762406,-0.5461242003643965,-0.2502107749245357,0.17333338316340957,-0.039873303415666285,-0.10079464572532326,-0.06758789455364093,-0.3649787397020166,0.05817709119602627,-0.2309536551911442,-0.054813927683384764,0.045348185182897086,0.11737380413409121,0.0965384094729843,0.2409561403985048,0.12272151917576607,0.2579984577530739,-0.57031159125219,0.5779847225922319,0.5802830278004745,0.4197494288698075,-0.16168001715338826,-0.056222858382997065,-0.489067431171652,-0.3182598872734057,-0.024827659260581038,-0.1156646803143383,0.4151853341100916,-0.5990554039332768,-0.44165058072777336,-0.5299842290647779,0.2783699491234013,0.215811887410545,-0.45531074552963696,0.08449361745518712,-0.32677645052792564,0.16832585329990596
3P%_college,-0.024689865116443714,0.01603500081698573,0.18427915804519104,0.12227806060064365,0.2630348161987203,-0.4035485358020164,0.6023580593869251,0.5625298414631077,1.0,-0.275281656958963,-0.19156479555131437,-0.24544430478741605,-0.02001566726512513,0.11061011840462436,-0.028606950329827466,0.3175230281618028,-0.4277609948051606,-0.22061481178813952,-0.3263474286532681,0.2921590163214658,0.20947722143689412,-0.45281052076742695,0.029781822133512183,-0.16959367469432787,0.24391164675223287,0.017417174474058703,0.10828098657416689,0.624878711894205,-0.2626970958822616,0.15847719583609465,-0.456449530920356,-0.3305673763424931,-0.4028477237133648,0.2991853532715874,0.20484812591584833,-0.440839659552877,-0.2576956063642951,0.1394621064704837,0.21269029061960723,-0.05169023717679625,0.15124148065128035,0.18229561620607468,0.37706322597141434,-0.10687164640625872,0.22751849349221126,,-0.44737763457620205,-0.22339694399864102,0.04211444657076927,0.1256995637018365,-0.41928625472296016,-0.366975771674462,-0.339752407167868,-0.3244274652966818,-0.1714310020771896,0.06704158569139873,-0.2126634055333719,-0.06705197307371578,-0.001485515004322796,-0.09216419466691095,,-0.38160350222330874,-0.4917468914740892,-0.3649112002850601,-0.2900346335587704,-0.29391160140625605,0.514491140314584,-0.5181976957557235,-0.48124342955318244,-0.48145093043845405,-0.49774213927003086,0.13850892794277048,0.08243258348694626,-0.4815628214126078,-0.2814812018611623,0.06893793169807438,-0.1248538187038083,-0.2118920040056365,-0.17382589982513444,-0.284974319803472,0.010912375415811082,-0.23283727708016935,-0.09712341799742959,-0.07344247621236082,-0.05367486617916763,-0.12575489996850475,0.04413976743575305,-0.018619228460766794,0.09359114438591212,-0.494967076067367,0.38638430621634745,0.38527249252680495,0.35141484175691684,-0.23256163048812856,-0.14657681757497015,-0.38660044842719493,-0.2941512755178025,-0.10438183897561348,-0.19286252291626174,0.38322570391422756,-0.5278197661577945,-0.4330139544457609,-0.49488206782698574,0.12449851126506264,0.07183834937568809,-0.46033399914184164,-0.07574251478085027,-0.3325143239207714,0.02094588898191617
2P_college,0.2353097392434083,0.489281090109914,0.3893898289220974,0.7875718414605626,0.5157476544789886,0.5049758598015648,-0.3279359428837412,-0.31307565211545635,-0.275281656958963,1.0,0.9440039146406914,0.30827565464787515,0.20314119587413995,0.48604140358641396,0.6084144856022744,0.04525270393950516,0.6407707245295747,0.6252342203395959,0.6743845400720606,-0.06498586987838416,0.06135090925841059,0.3942670627232347,0.3986112004292929,0.36923677356054,0.6142610919246129,0.6906927269474101,0.18980943711384332,-0.6301932002878717,0.34158807532304797,0.5968835768639474,0.5126399519675454,0.439197925943503,0.50292844262869,-0.08871021767794803,-0.08632644273141456,0.29373092293194736,-0.06503200545447495,0.5527478696088289,0.5029522450192425,0.387544546195619,0.5613676867764348,0.4707760269776866,0.3804863955180297,-0.029115011222105608,0.27683667056641786,,0.2854891959391633,0.20625645469024034,0.04792224518757124,-0.006221159061659807,0.2453046365059693,0.23805226604842458,0.21201533501251169,0.06633587463409585,-0.10622993745323962,-0.2166059957076407,0.12472711433952138,0.006517559233924656,0.16409445259601388,0.09781413046453419,,0.1387728570099133,0.24394959912863634,0.180764864088115,0.34036479945728354,0.1720552843210222,-0.39587694765313886,0.24939628054261292,0.39180160662910135,0.2813226161810345,0.3390249746150212,-0.13305281624315832,-0.10137610609291227,0.1940193229777275,-0.04682593979993979,0.10006528756268714,0.21688878560812366,0.15055473349905973,0.22159266289901644,0.324673350852542,0.183691284619287,-0.03279694756961058,0.15356231293284592,0.1658725516472277,0.03431215915280544,0.06865610061614098,-0.03305662768911532,0.0941878496638406,0.01615084674099021,0.3467022072717287,-0.23034317849948982,-0.2346941587466787,-0.2958208390013402,0.24609393949996763,0.2009478762845205,0.22692582502863973,0.16511476521566237,0.11563994752260023,0.15500432930638194,-0.17430456405640574,0.39613830633691327,0.27854716402385193,0.3409232678448245,-0.10556539040630168,-0.0769822557128956,0.1926767722346748,-0.015279256374373554,0.14179235274435248,0.056610603830391654
