,count,mean,std,min,25%,50%,75%,max
G_per_game,109.0,33.740091743119265,4.4542839336840245,11.0,32.5,34.5,36.0,41.0
GS_per_game,109.0,28.218807339449544,8.90811975887528,0.0,23.5,31.0,35.0,41.0
MP_per_game,109.0,28.905412844036697,4.622456163706591,10.1,26.5,29.78,32.2,37.6
FG_college,109.0,4.790917431192661,1.1461566544118649,1.3,3.93,4.9,5.4,7.93
FGA_college,109.0,9.998807339449542,2.6261966319328156,2.8,8.1,10.02,11.6,18.0
FG%_college,109.0,0.48256880733944957,0.05748435648270804,0.39,0.44,0.47,0.52,0.66
3P_college,109.0,1.0134862385321102,0.7505175697437426,0.0,0.35,1.03,1.6,2.9
3PA_college,109.0,2.816055045871559,1.9518419687607835,0.0,1.1,2.85,4.3,7.2
3P%_college,107.0,0.3137383177570094,0.11863630298446858,0.0,0.29,0.35,0.38,0.6
2P_college,109.0,3.7790825688073397,1.151675543690184,0.7,3.0,3.6,4.6,6.7
2PA_college,109.0,7.186605504587156,2.0866587771343066,1.2,5.7,7.0,8.5,12.5
2P%_college,109.0,0.5245871559633027,0.0538436025652717,0.4,0.49,0.52,0.56,0.66
eFG%_college,109.0,0.5313761467889908,0.04475174091188988,0.43,0.5,0.53,0.56,0.66
FT_college,109.0,3.0593577981651383,1.2886005007079335,0.0,2.1,2.87,3.65,6.6
FTA_college,109.0,4.156880733944955,1.5241455999076907,0.3,3.18,3.9,5.0,7.9
FT%_college,109.0,0.7172477064220184,0.12182920314957808,0.0,0.68,0.74,0.8,0.9
ORB_college,109.0,1.7091743119266054,0.948975205975496,0.4,1.0,1.6,2.4,5.7
DRB_college,109.0,4.16,1.3470262171277994,1.0,3.2,4.1,4.9,8.8
TRB_college,109.0,5.867889908256881,2.153433551759064,1.6,4.35,5.85,7.3,14.5
AST_college,109.0,2.181926605504587,1.3758630133848386,0.3,1.27,1.83,2.83,6.1
STL_college,109.0,1.0715596330275228,0.5277049791522593,0.2,0.7,0.97,1.45,2.95
BLK_college,109.0,0.8194495412844036,0.6935240587863757,0.0,0.3,0.6,1.15,3.05
TOV_college,109.0,1.909449541284404,0.5955558170538171,0.4,1.48,1.85,2.3,3.4
PF_college,109.0,2.2244954128440364,0.49890340161741714,0.7,1.9,2.2,2.6,3.25
PTS_college,109.0,13.645504587155962,3.558283628650647,3.1,11.3,13.4,16.0,23.5
PER_college,109.0,22.822293577981654,4.35062248271302,11.9,20.0,21.95,25.7,34.7
TS%_college,109.0,0.5674311926605504,0.04096980979093177,0.48,0.54,0.57,0.59,0.7
3PAr_college,109.0,0.2722935779816514,0.1675235363647556,0.0,0.14,0.31,0.4,0.61
FTr_college,109.0,0.41853211009174307,0.13641457568528068,0.1,0.31,0.4,0.5,0.76
PProd,109.0,448.4581651376146,130.5834814376607,42.0,357.5,459.0,532.25,930.0
ORB%_college,109.0,7.213211009174311,3.9475653257874215,1.65,3.9,7.05,10.57,20.0
DRB%_college,109.0,16.63137614678899,5.062282179656008,6.9,12.5,16.55,20.3,31.4
TRB%_college,109.0,11.990642201834861,4.269307836004905,4.63,8.55,12.1,15.1,25.6
AST%_college,109.0,15.064862385321103,8.112437366610799,3.2,9.6,13.0,19.6,37.58
STL%_college,109.0,2.1811009174311926,0.9592380651576013,0.45,1.55,2.0,2.7,5.15
BLK%_college,109.0,3.145871559633028,2.8488029360655163,0.0,1.13,2.2,4.75,12.3
TOV%_college,109.0,13.980917431192662,3.2488988280602267,7.55,11.4,13.9,16.1,26.48
USG%_college,109.0,24.12376146788991,3.9186391697342584,14.9,21.4,24.05,26.6,34.73
OWS_college,109.0,2.874311926605505,1.179302498633139,0.2,1.8,2.8,3.6,7.3
DWS_college,109.0,1.7827522935779816,0.6242489881325445,0.0,1.35,1.7,2.2,3.6
WS_college,109.0,4.656972477064221,1.4887333073276037,0.2,3.6,4.65,5.5,9.7
WS/40,109.0,0.18513761467889908,0.044108760339665015,0.05,0.16,0.18,0.21,0.32
OBPM_college,109.0,4.720183486238532,2.1219051457363847,-1.45,3.4,4.82,6.15,9.8
DBPM_college,109.0,2.7859633027522936,1.5889375201955822,-3.4,1.8,2.87,3.8,6.3
BPM_college,109.0,7.5052293577981635,2.762438400965737,-4.0,6.07,8.1,9.2,14.8
POS_college,0.0,,,,,,,
