join_key,G_per_game,GS_per_game,MP_per_game,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
aaron gordon,38.0,38.0,31.2,5.0,10.1,0.5,0.4,1.2,0.36,4.6,8.9,0.51,0.52,2.0,4.7,0.42,2.7,5.3,8.0,2.0,0.9,1.0,1.4,2.4,12.4,20.4,0.5,0.12,0.47,469.0,10.4,19.3,14.9,13.0,1.8,3.4,10.5,23.2,2.1,3.3,5.4,0.18,3.7,4.7,8.4,,79.5,220.1,24.5,0.05,83.75,105.0,8.75,10.5,32.5,39.0,10.81,2.76,3.27,,,91.9,137.5,144.0
alec burks,38.0,37.0,31.4,6.6,14.1,0.47,0.7,2.5,0.29,5.9,11.6,0.51,0.5,6.6,7.9,0.82,2.4,4.1,6.5,2.9,1.1,0.3,2.6,2.3,20.5,29.4,0.57,0.18,0.56,771.0,9.2,14.8,12.1,19.6,2.0,1.0,12.7,32.3,5.6,1.0,6.6,0.22,8.0,0.0,8.1,,77.0,192.6,22.8,0.05,82.0,103.5,9.0,8.3,29.0,36.0,10.96,,3.17,5.0,,74.3,132.5,139.5
alex len,30.0,24.0,23.8,3.5,6.4,0.54,0.0,0.1,0.06,3.45,6.25,0.55,0.54,2.0,3.05,0.64,2.25,4.4,6.6,0.8,0.2,2.1,1.55,2.6,8.95,20.75,0.57,0.02,0.48,282.5,11.0,21.35,16.15,6.9,0.5,9.0,17.65,19.5,1.75,1.3,3.05,0.15,1.5,3.2,4.7,,,,,0.06,87.5,,9.0,10.8,,,,,,,,96.8,,
andre drummond,34.0,30.0,28.4,4.6,8.6,0.54,0.0,0.1,0.0,4.6,8.5,0.54,0.54,0.8,2.6,0.3,3.4,4.2,7.6,0.4,0.8,2.7,1.5,2.2,10.0,21.9,0.51,0.01,0.3,328.0,14.2,17.0,15.6,3.4,1.8,9.9,13.5,20.9,1.4,1.5,2.9,0.12,2.0,2.9,4.9,,81.75,278.6,29.3,0.08,90.25,109.5,9.5,9.5,31.5,33.5,10.83,,3.39,10.0,,90.3,141.0,143.0
austin rivers,34.0,33.0,33.2,5.1,11.8,0.43,1.7,4.7,0.36,3.4,7.1,0.48,0.5,3.6,5.4,0.66,0.6,2.8,3.4,2.1,1.0,0.0,2.3,2.2,15.5,16.9,0.54,0.4,0.46,488.0,2.2,10.0,6.0,13.0,1.7,0.1,13.9,25.2,2.4,1.0,3.5,0.12,3.2,0.8,4.0,,75.5,202.8,25.0,0.06,79.25,96.5,8.5,10.0,32.5,37.5,11.54,,3.32,1.0,,85.0,129.0,134.0
ben mclemore,37.0,36.0,32.2,5.4,10.8,0.5,2.0,4.7,0.42,3.4,6.1,0.55,0.59,3.2,3.7,0.87,1.3,3.9,5.2,2.0,1.0,0.7,2.1,1.9,15.9,23.2,0.63,0.44,0.34,530.0,5.0,13.2,9.4,12.6,1.8,2.2,14.2,23.2,4.2,2.3,6.5,0.22,7.2,3.4,10.5,,75.5,189.2,23.3,0.05,79.75,100.5,8.75,9.5,32.5,42.0,11.87,3.11,3.27,6.0,,83.1,133.0,142.5
bobby portis,35.0,35.0,28.45,5.8,11.1,0.52,0.35,0.9,0.37,5.55,10.2,0.54,0.54,2.9,3.9,0.74,3.1,4.7,7.85,1.35,1.05,1.5,1.4,1.95,14.9,26.5,0.57,0.08,0.35,494.5,11.85,18.45,15.15,9.85,2.1,5.35,9.65,24.05,3.3,1.9,5.25,0.21,6.25,2.15,8.3,,81.5,246.2,26.1,0.09,86.0,108.5,9.5,9.3,25.0,31.5,11.78,3.28,3.56,5.0,,87.9,133.5,140.0
bradley beal,37.0,37.0,34.2,4.7,10.6,0.44,1.7,5.0,0.34,3.0,5.6,0.54,0.52,3.6,4.7,0.77,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1,14.8,22.0,0.57,0.47,0.44,522.0,4.8,20.3,12.3,12.7,2.5,2.6,14.3,23.0,3.6,2.1,5.7,0.18,5.4,2.9,8.4,,75.25,201.8,25.1,0.06,80.0,100.0,8.5,9.0,33.0,39.0,10.95,,3.28,8.0,,76.5,133.0,139.0
brandon knight,38.0,38.0,35.9,5.7,13.5,0.42,2.3,6.1,0.38,3.4,7.4,0.46,0.51,3.6,4.5,0.8,0.7,3.4,4.0,4.2,0.7,0.2,3.2,2.2,17.3,19.3,0.55,0.45,0.33,652.0,2.2,10.2,6.3,23.4,1.1,0.6,16.8,27.0,3.6,1.8,5.3,0.16,4.5,0.9,5.5,,73.5,176.8,23.0,0.04,78.75,98.5,8.25,9.5,29.0,37.5,10.74,,3.07,10.0,,78.4,127.5,136.0
buddy hield,33.0,29.5,31.25,5.72,12.85,0.44,2.53,6.55,0.36,3.22,6.35,0.5,0.53,2.72,3.22,0.82,1.6,3.35,4.93,1.92,1.25,0.3,2.1,1.98,16.68,21.35,0.56,0.49,0.24,522.5,5.95,11.48,8.78,13.08,2.4,0.92,13.05,25.75,3.08,1.52,4.62,0.17,6.38,2.4,8.75,,75.75,212.4,26.0,0.06,81.25,101.0,8.5,9.0,,,,,,,,76.5,,
cameron payne,34.5,34.5,32.45,6.3,14.55,0.43,2.25,6.3,0.36,4.05,8.3,0.48,0.51,3.65,4.7,0.78,0.45,3.2,3.65,5.7,1.8,0.55,2.85,2.45,18.5,25.3,0.55,0.43,0.32,657.5,1.65,10.95,6.45,37.1,3.3,1.65,14.6,30.45,4.0,1.65,5.65,0.2,5.65,0.75,6.4,,72.75,182.8,24.3,0.06,79.25,97.5,8.5,8.3,29.8,35.5,10.9,2.93,3.28,0.0,,70.1,127.3,133.0
caris levert,25.75,17.5,27.85,3.98,8.95,0.42,1.42,3.5,0.39,2.55,5.48,0.44,0.5,2.28,2.9,0.72,0.4,3.5,3.9,3.08,1.05,0.25,1.48,1.45,11.65,18.85,0.53,0.41,0.3,266.5,1.88,15.12,8.48,21.75,2.15,0.85,11.78,22.4,1.6,0.92,2.5,0.15,3.7,2.62,6.32,,77.75,191.0,22.2,0.08,82.0,101.0,8.5,9.3,,,,,,,,78.6,,
chandler parsons,36.0,35.0,34.1,4.3,9.0,0.48,1.2,3.3,0.37,3.1,5.7,0.54,0.55,1.5,2.7,0.56,2.1,5.7,7.8,3.8,0.9,0.4,2.3,1.9,11.3,19.7,0.55,0.36,0.3,440.0,7.3,19.3,13.4,21.6,1.7,1.3,18.0,19.2,2.7,2.2,5.0,0.16,5.1,3.2,8.3,,80.75,221.2,23.8,0.07,81.5,104.5,8.25,10.0,25.5,31.5,11.05,,3.29,4.0,,82.5,130.0,136.0
chris boucher,34.5,23.5,24.7,4.35,8.25,0.53,1.1,3.15,0.34,3.3,5.05,0.65,0.6,2.1,3.3,0.62,2.2,4.5,6.75,0.4,0.6,2.7,1.05,2.7,11.95,26.65,0.61,0.39,0.41,375.0,10.7,20.25,15.7,3.2,1.4,11.8,9.95,22.1,2.7,2.0,4.7,0.22,5.15,4.0,9.2,,80.0,182.2,20.0,0.05,88.0,110.5,9.25,10.5,,,,,,,,97.1,,
christian wood,31.5,17.0,22.85,3.65,7.65,0.45,0.6,2.2,0.25,3.05,5.45,0.56,0.49,2.25,3.05,0.77,1.85,4.75,6.6,0.8,0.3,1.85,1.45,2.05,10.1,21.6,0.54,0.33,0.37,313.5,8.85,20.7,15.1,7.15,1.05,7.5,12.75,23.0,1.6,1.6,3.2,0.17,1.7,2.5,4.2,,81.25,216.0,23.0,0.15,87.25,111.5,9.25,10.8,,,,,,,,99.4,,
cj mccollum,26.0,25.67,32.9,7.4,16.63,0.45,2.07,5.2,0.39,5.33,11.37,0.47,0.51,5.77,6.87,0.84,1.43,5.0,6.43,2.83,2.17,0.5,2.6,1.87,22.53,31.3,0.57,0.31,0.41,541.67,5.03,18.17,11.5,22.0,3.77,1.63,11.6,34.73,3.3,1.77,5.03,0.24,7.2,1.53,8.73,,74.25,197.0,25.1,0.09,78.25,96.5,8.0,9.5,32.0,38.5,11.02,2.91,3.32,13.0,,76.0,128.5,135.0
cody zeller,36.0,36.0,29.0,5.55,9.35,0.59,0.0,0.05,0.0,5.55,9.35,0.6,0.59,4.95,6.6,0.76,2.6,4.65,7.3,1.3,1.2,1.25,2.0,2.45,16.05,30.55,0.64,0.0,0.7,549.0,11.8,19.4,15.75,9.5,2.5,4.35,13.45,25.4,4.95,2.15,7.05,0.27,7.7,3.65,11.4,,82.75,230.0,23.6,0.05,82.75,106.0,8.5,10.5,35.5,37.5,10.82,2.69,3.15,17.0,,89.3,141.5,143.5
cory joseph,36.0,36.0,32.4,3.8,8.9,0.42,1.4,3.5,0.41,2.3,5.4,0.43,0.5,1.4,2.0,0.7,0.6,2.9,3.6,3.0,1.0,0.3,1.5,1.8,10.4,15.1,0.53,0.39,0.23,372.0,2.2,9.5,6.0,17.3,1.9,0.9,13.1,17.3,2.2,2.2,4.4,0.15,2.7,3.8,6.5,,74.0,186.2,23.9,0.1,77.5,99.0,8.5,10.5,27.5,35.0,10.75,,3.27,5.0,,89.3,126.5,134.0
damian jones,33.0,31.67,27.0,5.13,9.07,0.57,0.0,0.07,0.1,5.13,8.97,0.57,0.57,2.97,5.23,0.56,2.07,4.23,6.37,0.7,0.37,1.67,2.0,3.07,13.23,21.47,0.57,0.01,0.58,394.67,9.6,16.67,13.4,6.23,0.8,6.37,14.67,26.5,1.73,1.63,3.37,0.15,1.53,2.03,3.6,,82.25,243.6,25.3,0.07,87.75,107.0,8.75,10.5,36.0,37.0,11.35,3.12,3.2,,,91.9,143.0,144.0
damian lillard,21.0,20.5,31.5,6.05,13.35,0.45,2.4,6.35,0.38,3.65,7.0,0.52,0.54,6.55,7.5,0.87,0.55,3.85,4.4,3.65,1.45,0.2,2.55,2.1,21.1,31.05,0.62,0.48,0.57,459.0,2.3,14.5,8.55,27.2,2.75,0.75,13.45,32.75,3.95,0.9,4.8,0.26,7.55,0.8,8.35,,73.75,188.8,24.4,0.06,79.75,95.5,8.75,9.8,34.5,39.5,11.15,,3.34,13.0,,85.3,130.0,135.0
delon wright,34.0,34.0,34.85,5.0,9.35,0.54,0.55,1.85,0.29,4.45,7.5,0.59,0.56,4.5,5.5,0.81,1.15,4.75,5.85,5.2,2.3,1.15,2.2,1.6,15.0,28.1,0.63,0.2,0.59,557.0,4.3,15.35,10.3,30.8,4.05,3.5,15.75,22.1,4.75,3.15,7.85,0.27,7.65,6.3,13.9,,76.25,181.4,21.9,0.07,79.5,101.5,8.0,8.5,29.5,31.0,11.16,3.5,3.29,4.0,,68.0,131.0,132.5
derrick white,34.0,32.0,32.8,6.0,11.9,0.51,1.7,4.2,0.4,4.4,7.6,0.57,0.58,4.4,5.4,0.81,1.0,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,27.3,0.63,0.36,0.45,603.0,3.5,10.5,7.0,28.6,2.2,4.9,14.2,25.3,4.5,1.4,5.9,0.21,9.0,3.4,12.4,,75.25,189.8,23.6,0.06,79.5,101.5,8.25,8.5,31.0,36.5,10.84,2.92,3.08,10.0,,70.1,132.5,138.0
devin booker,32.0,31.0,28.47,4.03,8.27,0.48,0.23,0.8,0.24,3.83,7.5,0.51,0.5,2.3,3.4,0.68,2.4,4.23,6.67,0.93,0.7,0.8,1.77,2.6,10.57,18.83,0.53,0.11,0.4,327.67,10.13,19.17,14.53,7.47,1.57,3.2,15.3,21.93,1.67,1.63,3.27,0.14,1.5,1.43,2.9,,76.5,205.8,24.7,0.08,80.25,102.5,8.75,9.0,27.5,34.5,10.27,2.75,3.28,8.0,,78.8,130.0,137.0
dewayne dedmon,25.5,24.5,22.8,3.05,5.8,0.53,0.0,0.1,0.0,3.05,5.75,0.53,0.53,1.05,1.8,0.61,2.4,3.85,6.25,0.45,0.9,1.55,1.55,3.1,7.15,19.3,0.54,0.01,0.31,180.5,12.15,22.85,17.2,4.7,2.45,7.35,18.6,19.7,0.6,1.25,1.8,0.12,-0.25,3.8,3.55,,82.0,238.8,25.0,0.08,88.0,109.0,9.0,11.0,28.0,32.5,12.75,3.26,3.4,8.0,,99.0,137.0,141.5
