join_key,G_per_game,GS_per_game,MP_per_game,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,POS,HGT,WGT,BMI,BF,WNGSPN,STNDRCH,HANDL,HANDW,STNDVERT,LPVERT,LANE,SHUTTLE,SPRINT,BENCH,BAR,PAN,PBHGT,PDHGT
aaron harrison,39.5,39.0,29.15,4.05,9.9,0.41,1.55,4.6,0.34,2.5,5.3,0.47,0.49,2.75,3.5,0.79,0.5,2.25,2.8,1.65,1.1,0.25,1.25,1.85,12.35,17.5,0.53,0.46,0.35,443.5,2.1,8.5,5.5,11.35,2.35,0.75,9.65,22.5,2.9,2.15,5.15,0.18,3.7,3.85,7.6,,76.5,209.2,25.1,0.06,80.25,100.5,8.75,10.0,28.5,34.5,,,3.27,1.0,,87.5,129.0,135.0
aaron henry,32.33,25.67,27.9,3.97,8.77,0.46,0.77,2.3,0.34,3.23,6.47,0.5,0.51,1.77,2.4,0.72,1.13,3.53,4.67,2.7,0.9,0.8,2.07,1.9,10.5,16.17,0.54,0.26,0.27,322.67,4.9,13.23,9.3,18.47,1.93,2.83,17.63,20.83,1.27,1.43,2.73,0.12,3.03,3.73,6.73,,76.5,209.6,25.2,0.06,82.75,103.5,8.5,9.3,29.0,35.0,11.68,3.18,3.07,,,78.6,132.5,138.5
aaron holiday,33.67,21.67,31.93,4.73,10.5,0.45,1.8,4.23,0.42,2.93,6.27,0.47,0.53,3.07,3.9,0.78,0.47,2.7,3.2,4.73,1.27,0.23,3.03,2.7,14.3,17.1,0.57,0.4,0.36,499.67,1.7,8.67,5.4,25.1,2.2,0.7,19.9,23.03,2.23,1.07,3.3,0.12,2.8,1.3,4.07,,71.75,187.0,25.5,0.06,79.5,97.0,8.75,8.5,25.5,33.0,10.96,3.22,3.27,,,74.4,122.5,130.0
aaron wiggins,32.0,16.67,28.37,3.93,9.67,0.4,1.77,5.0,0.36,2.13,4.7,0.44,0.5,1.4,1.77,0.79,1.07,3.57,4.67,1.57,0.9,0.37,1.47,1.73,11.07,16.13,0.52,0.53,0.18,333.33,4.67,13.67,9.37,11.47,1.93,1.47,11.8,22.0,1.5,1.4,2.9,0.13,3.53,2.5,6.03,,76.5,190.0,22.8,0.05,81.75,103.0,8.75,8.5,29.5,36.0,11.2,3.0,3.04,,,74.4,132.5,139.0
adam flagler,31.75,24.75,29.5,4.68,10.7,0.44,2.38,6.05,0.4,2.3,4.68,0.49,0.55,1.85,2.28,0.81,0.65,1.92,2.58,2.58,1.0,0.12,1.35,1.68,13.6,18.77,0.58,0.56,0.22,406.25,2.7,7.78,5.15,16.08,1.98,0.48,9.98,21.88,2.8,1.12,3.92,0.17,5.45,1.18,6.65,,73.0,191.8,25.3,,76.5,97.0,8.0,9.3,31.0,36.0,10.96,,3.0,,,74.0,128.0,133.0
adama sanogo,30.33,29.0,24.23,5.53,9.97,0.55,0.17,0.43,0.18,5.37,9.53,0.57,0.56,1.87,2.63,0.68,2.57,4.53,7.1,0.97,0.67,1.2,1.83,2.8,13.1,25.0,0.58,0.04,0.25,377.0,11.77,21.1,16.4,8.7,1.57,5.33,14.7,26.37,2.3,1.7,4.0,0.2,3.67,2.8,6.43,,79.3,257.8,28.9,,86.8,108.5,9.75,10.0,28.5,31.0,11.5,,3.31,,,97.5,137.0,139.5
adem bona,33.0,32.5,24.7,3.9,6.3,0.63,0.0,0.0,0.0,3.9,6.25,0.63,0.63,2.25,3.5,0.63,2.1,3.45,5.6,0.95,0.85,1.75,1.9,3.45,10.05,21.85,0.64,0.0,0.55,319.0,10.15,16.95,13.5,8.65,2.05,8.95,19.25,20.45,1.7,1.95,3.65,0.18,1.5,4.75,6.3,,80.3,243.2,26.5,,87.8,108.0,10.0,10.0,35.0,40.0,11.0,3.0,3.0,,,95.0,143.0,148.0
admiral schofield,33.0,23.75,24.4,4.3,9.38,0.45,1.35,3.47,0.38,2.92,5.9,0.5,0.52,1.62,2.12,0.78,1.25,4.0,5.22,1.3,0.65,0.35,1.38,2.62,11.55,18.2,0.56,0.37,0.25,354.25,5.9,17.68,11.9,10.42,1.42,1.55,11.7,23.32,1.72,1.32,3.05,0.14,3.35,1.75,5.12,,76.0,240.6,29.3,0.07,81.75,102.5,8.75,9.0,30.0,34.0,10.77,2.87,3.37,15.0,,78.8,132.5,136.5
adonis thomas,27.5,22.0,26.6,3.95,9.0,0.45,0.75,2.2,0.35,3.2,6.8,0.48,0.49,1.65,2.2,0.73,1.1,2.7,3.85,1.35,0.65,0.7,1.45,1.4,10.25,15.75,0.52,0.25,0.23,278.5,5.1,12.15,8.75,9.45,1.35,2.8,12.7,21.5,1.2,1.1,2.3,0.12,2.05,1.1,3.15,,76.75,231.8,27.7,0.08,85.0,99.0,9.25,9.5,34.5,40.5,11.64,3.11,3.32,13.0,,87.9,133.5,139.5
adreian payne,34.5,23.5,20.15,3.28,6.3,0.52,0.45,1.18,0.33,2.82,5.15,0.54,0.55,2.05,2.7,0.71,1.5,3.82,5.38,0.62,0.57,1.03,1.38,2.17,9.1,21.58,0.58,0.12,0.45,279.25,9.93,21.45,15.8,5.88,1.72,6.55,16.27,22.0,1.75,1.55,3.3,0.17,2.62,3.52,6.15,,81.0,238.5,25.6,0.08,88.0,109.0,9.25,9.5,,,,,,,,87.9,,
