,PProd,WGT,GS,GP,PAN,GS_per_game,AST%_college,AST%_nba,MP,DRB%_nba,BENCH,DRB%_college,PTS_nba,STNDRCH,MP_per_game,G_per_game,PER_college,TRB%_nba,PBHGT,TRB%_college,USG%_nba,ORB%_college,USG%_college,PDHGT,FGA_nba
PProd,1.0,-0.10214187195508172,0.059826051805588296,0.07191800910668224,-0.3092991323422748,0.723813407391781,0.37652083206716835,0.20606740872106197,0.06183960486606226,-0.23888035271027966,-0.08737191587848593,-0.06496169114593281,0.045660424249676965,-0.32285375151467915,0.7530295020000478,0.5559197204605065,0.4761632121333443,-0.19983891543659704,-0.32782428277995196,-0.07896283103480073,0.13604776651306857,-0.10553289036683958,0.6298049781838371,-0.2937006640430768,0.0854862279370491
WGT,-0.10214187195508172,1.0,0.01724420151661301,0.05129799635391271,0.5115238714598027,0.06469510563301913,-0.5728312610879878,-0.4348401283719129,-0.1295960004703764,0.4628344165484641,0.4402412523022021,0.4321899663863868,-0.09523386488678931,0.5141228131102111,-0.24121290299944315,0.19000272738248608,0.17711770682914263,0.49242087900931103,0.6403217301521311,0.5003647615536577,-0.14181372588845967,0.5195658299008065,-0.02316654103032423,0.5333382287928253,-0.16345295706945245
GS,0.059826051805588296,0.01724420151661301,1.0,0.6672930717593873,-0.05898064205524431,-0.07337090244342159,0.03426644136847635,0.2508877684650958,0.8566256259207657,-0.09682148231390794,0.07085144995282507,0.05568515874214817,0.7569985765883392,-0.10102349474008153,0.09656202804835053,-0.1338669270641801,0.08755153651269507,-0.10863247794871908,0.03977260102774164,0.058145926285638416,0.45620218252976436,0.05307158567130441,0.21250084676341136,0.02250710470297915,0.7311753810568443
GP,0.07191800910668224,0.05129799635391271,0.6672930717593873,1.0,-0.025618781458542336,-0.006014489848216593,-0.10241963316985314,0.08137479254976639,0.5896063774396488,-0.05171863333536642,-0.11941531987042606,0.045442340557008215,0.5175603789060689,-0.04450582863172477,0.08691300612142557,0.06309896740179237,-0.004913708579520052,-0.06587004706796282,-0.10229495231146234,0.042601332300893746,0.256643993880958,0.02613518766178859,0.1047202283906407,-0.1308028526620458,0.48509908697890614
PAN,-0.3092991323422748,0.5115238714598027,-0.05898064205524431,-0.025618781458542336,1.0,-0.037950979638705605,-0.5229899542717218,-0.43139189379114345,-0.24920537978747678,0.5607540924973968,0.08333794226683017,0.4968801186857517,-0.2042839659573219,0.5427617528015629,-0.21263735733951933,-0.07818988564787786,-0.047750362750359286,0.5603162401876483,0.4241325185689439,0.5167453725961129,-0.2558586855277442,0.47638707221436,-0.21025946091827905,0.38853209965572605,-0.28647177311472954
GS_per_game,0.723813407391781,0.06469510563301913,-0.07337090244342159,-0.006014489848216593,-0.037950979638705605,1.0,0.1090363552989735,0.011203484612591724,-0.185497428347376,-0.016228514967771925,-0.15456119254831593,0.1216164262490512,-0.20860852861017767,-0.05706335624384261,0.7415084122302065,0.5456325074693732,0.21444096570001087,0.04487724437614691,-0.08257174407469979,0.11273540224098245,-0.13460111328764054,0.0789530144424137,0.25530910551018754,-0.04006910386573525,-0.18978982368305405
AST%_college,0.37652083206716835,-0.5728312610879878,0.03426644136847635,-0.10241963316985314,-0.5229899542717218,0.1090363552989735,1.0,0.7569660243368214,0.1783778770225798,-0.5596684637756394,-0.21289835615040684,-0.46531534286715087,0.11736540746585546,-0.6143000890239732,0.4157602459846525,-0.11949742618242028,0.054809174969297166,-0.5705377303048285,-0.6636407092609325,-0.5621455112625082,0.22868259621651124,-0.6186081361799192,0.3043049813652663,-0.634874955462706,0.2125953978303247
AST%_nba,0.20606740872106197,-0.4348401283719129,0.2508877684650958,0.08137479254976639,-0.43139189379114345,0.011203484612591724,0.7569660243368214,1.0,0.43727728709668007,-0.43657114705301037,-0.17373204791296756,-0.37721533443932054,0.44862616083379714,-0.5950585928842531,0.28390678422487414,-0.12472867325904986,-0.00982397012745444,-0.4636247932669804,-0.6246499371905126,-0.4463707678195364,0.5075196214839133,-0.48164084079371927,0.1367693481989184,-0.5865547356030192,0.4978073175612117
MP,0.06183960486606226,-0.1295960004703764,0.8566256259207657,0.5896063774396488,-0.24920537978747678,-0.185497428347376,0.1783778770225798,0.43727728709668007,1.0,-0.30574968773369665,-0.0516148709871551,-0.17609636807123522,0.8859474145094658,-0.3127175322282249,0.10200226883213506,-0.15365824398672856,0.03408422066188418,-0.34668120561088245,-0.16151026335555208,-0.17578958240027268,0.6225405137626429,-0.15878305795058734,0.22355139840974944,-0.12750817700629316,0.8931299534424068
DRB%_nba,-0.23888035271027966,0.4628344165484641,-0.09682148231390794,-0.05171863333536642,0.5607540924973968,-0.016228514967771925,-0.5596684637756394,-0.43657114705301037,-0.30574968773369665,1.0,0.20049524292391274,0.643822077183878,-0.2305553976686175,0.7961313658934412,-0.30525628779162084,0.04852948592914665,0.21908833977821188,0.9705614075977231,0.6813561062488667,0.7206105844035446,-0.17183816874022625,0.7177792012423571,-0.17861776120801273,0.6082732896175017,-0.3188992526982244
