,PER_nba,TS%_nba,3PAr_nba,FTr_nba,ORB%_nba,DRB%_nba,TRB%_nba,AST%_nba,STL%_nba,BLK%_nba,TOV%_nba,USG%_nba,OWS_nba,DWS_nba,WS_nba,OBPM_nba,DBPM_nba,BPM_nba,FG_nba,FGA_nba,FG%_nba,3P_nba,3PA_nba,3P%_nba,2P_nba,2PA_nba,2P%_nba,eFG%_nba,FT_nba,FTA_nba,FT%_nba,ORB_nba,DRB_nba,TRB_nba,AST_nba,STL_nba,BLK_nba,TOV_nba,PF_nba,PTS_nba
2P%_college,,0.4146681227239871,,,,,,,,,,,,,,,,,,,,,,,,,,0.424559907390524,,,,,,,,,,,,
2P%_nba,,0.8020312105186221,,0.5084639077576579,0.6041153737140051,,0.6228588822249005,,,0.6191667704678414,,,,,,,0.2692329229521435,,,,0.8609330830332518,,,,,,1.0,0.8371172942671747,,,,0.5995903005912807,,,,,0.5459757514237583,,,
2PA_nba,0.7003791016681071,,,,,,,0.4644886856852216,,,,0.8319353630144415,0.594998217962346,0.5531763941081507,0.6578861367167662,0.7042922758741489,,0.575720304629363,0.9333315506191744,0.884582474175532,,,0.4062203883704274,,0.9780604832990464,1.0,,,0.8449676201436637,0.8682763424931633,,,0.5142720529935106,,0.6127893488313264,0.495077260189407,,0.8251068962726699,0.4061231615735896,0.9034698809523839
2P_nba,0.7851819019589459,,,,,,,,,,,0.7652948597407501,0.6628922834158671,0.5952023588834325,0.725692800240183,0.7332117242527357,,0.6308873569263183,0.9112748715294162,0.8197362365991142,,,,,1.0,0.9780604832990464,,,0.8301681771423322,0.8682972877771327,,,0.6023552782831381,0.5583371639816275,0.5266077074063763,0.436145890833325,,0.7706132320805903,0.44600965425127787,0.8709398536985464
3P%_college,,,0.514491140314584,,,,,,,,,,,,,,,,,,,,,0.35141484175691684,,,,,,,0.38322570391422756,,,,,,,,,
3P%_nba,,,0.7230729679007571,,,,,,,,,,,,,,,,,,,0.7017246069022949,0.6796743209522782,1.0,,,,,,,0.6678072049509637,,,,,,,,,
3PA_college,,,0.5881076011526931,,,,,,,,,,,,,,,,,,,0.5779847225922319,0.5802830278004745,0.4197494288698075,,,,,,,0.4151853341100916,,,,,,,,,
3PA_nba,,,0.6807937137277826,,,,,,,,,0.624114676659881,,,,,,,0.6688836107924921,0.7854906102104019,,0.9915984402403307,1.0,0.6796743209522782,,,,,,,0.6412833321719112,,,,0.508472867919947,,,0.5379230859787251,,0.722615527430685
3PAr_college,,,0.6789251319140699,,,,,,,,,,,,,,,,,,,0.5660298283307326,0.5659253430799116,0.48305935400821615,,,,,,,0.42827468919368383,,,,,,,,,
3PAr_nba,,,1.0,,,,,,,,,,,,,,,,,,,0.6809923348129553,0.6807937137277826,0.7230729679007571,,,,,,,0.580254098701164,,,,,,,,,
