,missing_pct
POS_college,100.0
BAR,100.0
SHUTTLE,54.13
BENCH,38.53
LANE,25.69
SPRINT,23.85
LPVERT,22.94
STNDVERT,22.94
PBHGT,22.94
PDHGT,22.94
3P%_college,1.83
HANDL,1.83
HANDW,1.83
PAN,1.83
HGT,0.92
WGT,0.92
STNDRCH,0.92
BMI,0.92
BF,0.92
FT%_college,0.0
ORB_college,0.0
STL_college,0.0
DRB_college,0.0
TRB_college,0.0
AST_college,0.0
PTS_college,0.0
PER_college,0.0
TS%_college,0.0
3PAr_college,0.0
FTr_college,0.0
BLK_college,0.0
TOV_college,0.0
PF_college,0.0
DRB%_college,0.0
FTA_college,0.0
FT_college,0.0
join_key,0.0
FGA_college,0.0
G_per_game,0.0
MP_per_game,0.0
GS_per_game,0.0
3PA_college,0.0
2P_college,0.0
2PA_college,0.0
2P%_college,0.0
eFG%_college,0.0
FG%_college,0.0
3P_college,0.0
FG_college,0.0
BPM_college,0.0
WS/40,0.0
OBPM_college,0.0
DBPM_college,0.0
WS_college,0.0
USG%_college,0.0
OWS_college,0.0
DWS_college,0.0
BLK%_college,0.0
STL%_college,0.0
AST%_college,0.0
TOV%_college,0.0
TRB%_college,0.0
PProd,0.0
ORB%_college,0.0
WNGSPN,0.0
Player,0.0
POS_nba,0.0
PER_nba,0.0
TS%_nba,0.0
3PAr_nba,0.0
FTr_nba,0.0
ORB%_nba,0.0
DRB%_nba,0.0
TRB%_nba,0.0
AST%_nba,0.0
STL%_nba,0.0
BLK%_nba,0.0
TOV%_nba,0.0
USG%_nba,0.0
OWS_nba,0.0
DWS_nba,0.0
WS_nba,0.0
WS/48,0.0
OBPM_nba,0.0
DBPM_nba,0.0
BPM_nba,0.0
VORP,0.0
GP,0.0
GS,0.0
MP,0.0
FG_nba,0.0
FGA_nba,0.0
FG%_nba,0.0
3P_nba,0.0
3PA_nba,0.0
3P%_nba,0.0
2P_nba,0.0
2PA_nba,0.0
2P%_nba,0.0
eFG%_nba,0.0
FT_nba,0.0
FTA_nba,0.0
FT%_nba,0.0
ORB_nba,0.0
DRB_nba,0.0
TRB_nba,0.0
AST_nba,0.0
STL_nba,0.0
BLK_nba,0.0
TOV_nba,0.0
PF_nba,0.0
PTS_nba,0.0
Label,0.0
