,outliers
3P%_college,13
3P%_nba,12
G_per_game,9
DWS_nba,7
AST_college,7
FG%_nba,7
ORB%_nba,6
DRB_nba,6
BLK_nba,6
BLK_college,6
FTr_nba,5
BF,5
BLK%_college,5
BLK%_nba,5
2P%_nba,5
STL_nba,5
OWS_nba,5
ORB_nba,5
VORP,5
TS%_nba,4
STL%_nba,4
FT_college,4
GS_per_game,4
TRB_nba,4
FT%_nba,4
WS_nba,4
PTS_nba,4
FT_nba,4
DBPM_nba,3
SPRINT,3
FG_nba,3
STL%_college,3
BPM_college,3
OBPM_nba,3
AST_nba,3
FTA_nba,3
3PAr_nba,3
FT%_college,3
AST%_college,3
FG_college,3
DWS_college,2
DBPM_college,2
WS_college,2
WS/40,2
FGA_college,2
3P_nba,2
BPM_nba,2
TOV_nba,2
STL_college,2
TOV%_nba,2
PAN,2
LANE,2
PProd,2
FTA_college,2
PTS_college,2
DRB_college,2
SHUTTLE,2
BMI,1
HANDL,1
3PA_nba,1
HANDW,1
MP_per_game,1
FG%_college,1
eFG%_college,1
2PA_college,1
TS%_college,1
TOV%_college,1
OWS_college,1
FGA_nba,1
eFG%_nba,1
ORB_college,1
PF_college,1
PER_college,1
TRB_college,1
TRB%_college,1
OBPM_college,1
USG%_college,1
LPVERT,1
PF_nba,1
DRB%_nba,1
WGT,1
TRB%_nba,1
DRB%_college,0
2P_college,0
2P%_college,0
3PA_college,0
ORB%_college,0
3PAr_college,0
FTr_college,0
TOV_college,0
3P_college,0
HGT,0
POS_college,0
USG%_nba,0
AST%_nba,0
PBHGT,0
PDHGT,0
PER_nba,0
STNDVERT,0
BENCH,0
BAR,0
STNDRCH,0
WNGSPN,0
WS/48,0
GP,0
MP,0
GS,0
2PA_nba,0
2P_nba,0
