Player,POS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Label
J.R. Giddens,SG,0.38,0.21,7.73,8.68,7.55,4.18,0.92,0.06,12.54,12.61,-0.18,0.09,0.08,-0.11,-6.66,-2.6,-9.25,-0.02,,,2,0,3.9,0.31,0.91,0.23,0.04,0.22,0.3,0.7,0.21,0.26,0.03,0.04,0.24,0.36,0.58,0.15,0.13,0.04,0.27,0.44,0.84,23.71,21.0,Bust
Aaron Brooks,PG,12.17,0.51,0.42,0.18,2.36,6.44,4.41,23.29,1.41,0.82,15.34,22.01,0.82,0.62,1.46,0.05,-0.69,-1.24,-1.92,0.18,52,14,19.26,3.11,7.69,0.4,1.11,3.15,0.35,2.0,4.52,0.44,0.48,1.29,1.5,0.83,0.38,1.14,1.51,2.87,0.54,0.14,1.45,1.78,8.64,Bust
Aaron Gordon,PF,15.52,0.56,0.3,0.31,6.53,16.76,11.62,13.95,1.22,1.91,11.68,19.95,2.07,1.7,3.77,0.1,0.5,-0.31,0.19,1.02,59,52,28.74,4.99,10.38,0.48,1.1,3.24,0.33,3.9,7.15,0.55,0.53,2.16,3.16,0.69,1.7,4.37,6.08,2.75,0.71,0.63,1.54,1.92,13.25,Starter
Al Horford,PF,17.8,0.58,0.25,0.17,6.74,20.68,13.78,15.89,1.24,3.03,10.76,18.08,3.58,2.93,6.52,0.15,1.64,1.33,2.95,2.47,63,60,31.37,5.38,10.53,0.51,0.87,2.33,0.36,4.5,8.2,0.55,0.55,1.39,1.84,0.78,1.88,5.84,7.73,3.14,0.78,1.16,1.37,2.07,13.01,Superstar
Al Jefferson,PF-SF,20.06,0.53,0.01,0.24,8.95,24.86,16.82,9.49,1.26,3.26,8.42,24.97,2.66,2.41,5.07,0.13,1.01,-0.16,0.86,1.51,65,46,27.89,6.55,13.09,0.5,0.0,0.08,0.08,6.53,13.04,0.5,0.5,2.13,3.0,0.71,2.15,5.99,8.16,1.43,0.66,1.17,1.26,2.53,15.21,Star
Al-Farouq Aminu,SF,10.78,0.49,0.36,0.28,6.03,21.08,13.52,7.44,2.0,1.78,15.74,14.56,0.48,1.63,2.14,0.05,-2.45,0.76,-1.7,0.48,56,35,23.1,2.37,5.83,0.39,0.66,2.13,0.28,1.72,3.72,0.44,0.44,1.16,1.55,0.75,1.25,4.37,5.64,1.2,0.89,0.49,1.16,1.71,6.54,Role Player
Alan Anderson,SG-SF,9.51,0.52,0.45,0.24,2.56,9.89,6.2,9.25,1.16,0.32,11.16,17.46,0.48,0.46,0.9,0.05,-2.17,-1.0,-3.16,-0.11,41,8,19.04,2.35,5.88,0.4,0.92,2.64,0.34,1.44,3.24,0.45,0.48,1.14,1.42,0.8,0.41,1.56,2.0,1.1,0.44,0.09,0.86,1.79,6.8,Bust
Alec Burks,SG,13.56,0.54,0.39,0.32,2.61,14.13,8.31,12.92,1.5,0.77,10.31,21.59,1.01,0.82,1.83,0.08,-0.37,-0.54,-0.91,0.38,47,10,21.49,3.42,8.33,0.41,1.25,3.27,0.36,2.16,5.06,0.43,0.48,2.28,2.78,0.81,0.51,2.71,3.22,1.86,0.62,0.2,1.07,1.6,10.36,Role Player
Alex Len,C,13.67,0.57,0.12,0.39,10.71,21.59,16.07,8.12,0.98,4.92,19.07,15.43,0.81,0.83,1.66,0.09,-2.71,0.44,-2.24,0.07,48,17,14.82,2.16,4.09,0.53,0.15,0.48,0.28,2.0,3.63,0.56,0.55,1.03,1.57,0.61,1.45,2.98,4.45,0.79,0.3,0.8,0.95,2.08,5.49,Role Player
Amar'e Stoudemire,PF,20.92,0.58,0.01,0.45,9.37,19.51,14.51,6.43,1.19,2.87,12.16,25.45,4.11,1.9,6.01,0.16,1.15,-0.59,0.56,1.43,57,44,28.19,6.23,11.81,0.53,0.02,0.14,0.16,6.22,11.66,0.53,0.53,4.23,5.54,0.76,2.24,4.88,7.12,1.09,0.68,1.09,2.0,2.94,16.74,Star
