Season,Team,Conf_per_game,Class_per_game,Pos_per_game,G_per_game,GS_per_game,MP_per_game,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_per_game,PlayerName_per_game,CollegeID_per_game,Conf_adv,Class_adv,Pos_adv,G_adv,GS_adv,MP_adv,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards_adv,PlayerName_adv,CollegeID_adv,PlayerName,CollegeID
2019-20,Memphis,AAC,FR,F,31,31,30.4,5.9,11.9,0.493,0.4,1.3,0.325,5.5,10.6,0.514,0.511,3.6,6.0,0.599,3.0,7.8,10.8,1.0,1.1,1.9,2.8,2.4,15.8,,Precious Achiuwa,precious-achiuwa-1,AAC,FR,F,31,31,943,23.3,0.534,0.108,0.507,460,11.4,24.6,18.6,7.5,2.0,6.4,16.0,27.7,1.5,2.9,4.4,0.187,2.5,3.4,5.8,,Precious Achiuwa,precious-achiuwa-1,Precious Achiuwa,precious-achiuwa-1
2010-11,Baylor,Big 12,JR,F,31,18,31.0,4.4,8.3,0.535,0.0,0.1,0.0,4.4,8.2,0.539,0.535,3.6,5.2,0.685,2.8,4.8,7.6,0.9,0.9,1.5,2.1,2.5,12.4,,Quincy Acy,quincy-acy-1,Big 12,JR,F,31,18,960,21.8,0.578,0.008,0.633,376.0,11.5,18.4,15.1,6.3,1.8,5.3,16.3,21.2,2.3,1.9,4.2,0.177,2.8,2.4,5.2,,Quincy Acy,quincy-acy-1,Quincy Acy,quincy-acy-1
2011-12,Baylor,Big 12,SR,F,38,38,29.7,4.2,7.2,0.577,0.1,0.1,0.6,4.1,7.1,0.576,0.582,3.6,4.6,0.782,2.6,4.8,7.4,1.0,0.9,1.8,1.9,3.1,12.0,,Quincy Acy,quincy-acy-1,Big 12,SR,F,38,38,1130,23.5,0.638,0.018,0.635,436.0,10.9,20.0,15.5,6.5,1.8,6.6,16.6,19.0,3.5,2.0,5.6,0.198,3.4,3.4,6.9,,Quincy Acy,quincy-acy-1,Quincy Acy,quincy-acy-1
2014-15,St. Bonaventure,A-10,FR,G,22,22,32.5,2.8,7.2,0.386,1.5,4.8,0.324,1.2,2.4,0.509,0.494,3.0,3.8,0.783,0.3,2.2,2.5,4.5,1.1,0.0,2.0,2.1,10.0,,Jaylen Adams,jaylen-adams-1,A-10,FR,G,22,22,714,15.6,0.56,0.665,0.525,236,1.0,7.9,4.4,27.7,2.2,0.2,17.9,17.4,1.5,0.9,2.3,0.132,1.4,0.5,1.9,,Jaylen Adams,jaylen-adams-1,Jaylen Adams,jaylen-adams-1
2015-16,St. Bonaventure,A-10,SO,G,30,30,37.5,5.0,11.2,0.445,2.8,6.4,0.438,2.2,4.8,0.455,0.57,5.1,5.8,0.874,0.8,2.9,3.7,5.0,1.3,0.3,2.7,2.7,17.9,,Jaylen Adams,jaylen-adams-1,A-10,SO,G,30,30,1125,22.0,0.639,0.57,0.519,544,2.3,8.5,5.5,25.8,2.1,0.9,16.3,22.2,4.1,1.0,5.1,0.181,6.0,0.4,6.4,,Jaylen Adams,jaylen-adams-1,Jaylen Adams,jaylen-adams-1
2016-17,St. Bonaventure,A-10,JR,G,30,29,37.4,5.6,13.4,0.419,2.6,7.2,0.356,3.0,6.2,0.492,0.515,6.9,8.4,0.821,0.6,3.1,3.7,6.5,2.1,0.2,3.4,2.8,20.6,,Jaylen Adams,jaylen-adams-1,A-10,JR,G,30,29,1123,24.5,0.595,0.539,0.626,641,1.8,9.5,5.7,35.4,3.1,0.5,16.5,27.1,4.1,1.5,5.6,0.199,6.0,1.7,7.7,,Jaylen Adams,jaylen-adams-1,Jaylen Adams,jaylen-adams-1
2017-18,St. Bonaventure,A-10,SR,G,28,27,37.0,5.5,12.5,0.437,2.7,6.1,0.436,2.8,6.4,0.438,0.544,5.5,6.5,0.851,0.4,3.0,3.4,5.2,1.5,0.3,3.1,2.9,19.1,,Jaylen Adams,jaylen-adams-1,A-10,SR,G,28,27,1036,21.9,0.614,0.491,0.517,534,1.4,9.1,5.3,28.6,2.4,0.9,16.5,25.5,3.3,1.4,4.7,0.182,5.1,1.6,6.8,,Jaylen Adams,jaylen-adams-1,Jaylen Adams,jaylen-adams-1
2012-13,UCLA,Pac-12,FR,G,33,27,30.3,5.0,11.2,0.447,1.4,4.5,0.307,3.6,6.6,0.543,0.509,3.9,4.6,0.843,0.6,3.2,3.8,1.8,2.2,0.4,1.2,2.1,15.3,,Jordan Adams,jordan-adams-1,Pac-12,FR,G,33,27,999,23.7,0.572,0.407,0.415,447,2.4,12.2,7.2,11.3,4.2,1.1,8.3,24.0,3.2,1.6,4.8,0.191,5.2,4.1,9.3,,Jordan Adams,jordan-adams-1,Jordan Adams,jordan-adams-1
2013-14,UCLA,Pac-12,SO,G,36,36,30.1,5.8,11.9,0.485,1.4,4.1,0.356,4.3,7.9,0.551,0.545,4.4,5.3,0.836,1.9,3.5,5.3,2.3,2.6,0.1,1.5,2.2,17.4,,Jordan Adams,jordan-adams-1,Pac-12,SO,G,36,36,1082,28.3,0.603,0.34,0.441,594,7.5,13.1,10.4,14.7,5.0,0.6,9.4,26.5,4.2,2.2,6.4,0.237,7.4,4.1,11.5,,Jordan Adams,jordan-adams-1,Jordan Adams,jordan-adams-1
2012-13,Pittsburgh,Big East,FR,C,32,32,23.4,3.1,5.5,0.571,0.0,0.0,3.1,5.5,0.571,0.571,1.0,2.2,0.443,2.8,3.5,6.3,0.6,0.7,2.0,1.1,1.6,7.2,,Steven Adams,steven-adams-1,Big East,FR,C,32,32,749,23.2,0.555,0.0,0.4,228,15.3,21.0,18.0,5.4,1.9,11.2,14.4,17.7,1.6,1.9,3.5,0.185,4.0,4.2,8.1,,Steven Adams,steven-adams-1,Steven Adams,steven-adams-1
2015-16,Louisville,ACC,FR,F,22,8,12.1,1.4,3.1,0.456,0.3,0.9,0.35,1.1,2.2,0.5,0.507,0.9,1.2,0.741,0.5,1.6,2.1,0.6,0.3,0.0,1.2,1.0,4.0,,Deng Adel,deng-adel-1,ACC,FR,F,22,8,267,11.5,0.551,0.294,0.397,85,4.3,15.4,9.9,9.0,1.4,0.4,24.3,20.0,0.1,0.5,0.7,0.104,-0.1,2.5,2.3,,Deng Adel,deng-adel-1,Deng Adel,deng-adel-1
2016-17,Louisville,ACC,SO,F,33,30,30.1,4.3,10.1,0.422,1.3,3.8,0.346,2.9,6.3,0.469,0.488,2.2,2.9,0.771,0.7,3.8,4.5,2.1,0.6,0.4,1.4,1.8,12.1,,Deng Adel,deng-adel-1,ACC,SO,F,33,30,993,16.3,0.527,0.38,0.287,377,2.5,13.9,8.2,12.7,1.2,1.4,10.6,21.0,2.1,1.7,3.7,0.15,3.6,2.8,6.4,,Deng Adel,deng-adel-1,Deng Adel,deng-adel-1
2017-18,Louisville,ACC,JR,F,34,33,33.1,5.2,11.7,0.448,1.5,4.2,0.35,3.8,7.5,0.504,0.511,3.0,3.9,0.786,0.6,4.5,5.2,2.8,0.6,0.3,2.3,1.4,15.0,,Deng Adel,deng-adel-1,ACC,JR,F,34,33,1126,17.3,0.554,0.36,0.33,487,2.3,14.3,8.6,16.5,1.1,1.0,14.4,24.1,2.0,1.5,3.6,0.127,3.4,1.3,4.6,,Deng Adel,deng-adel-1,Deng Adel,deng-adel-1
2018-19,Kansas,Big 12,FR,G,22,16,25.9,3.2,7.1,0.449,1.0,3.4,0.307,2.1,3.7,0.58,0.522,1.1,1.6,0.694,1.0,3.6,4.6,0.9,0.5,0.5,1.4,2.0,8.5,,Ochai Agbaji,ochai-agbaji-1,Big 12,FR,G,22,16,569,13.0,0.543,0.481,0.231,175,4.3,14.7,9.8,6.3,1.0,2.4,14.8,17.7,0.6,0.8,1.4,0.101,2.2,2.5,4.6,,Ochai Agbaji,ochai-agbaji-1,Ochai Agbaji,ochai-agbaji-1
2019-20,Kansas,Big 12,SO,G,31,31,33.3,3.7,8.7,0.428,1.5,4.4,0.338,2.2,4.3,0.519,0.513,1.1,1.6,0.673,1.2,3.0,4.2,2.0,1.2,0.3,1.9,1.9,10.0,,Ochai Agbaji,ochai-agbaji-1,Big 12,SO,G,31,31,1032,13.1,0.529,0.506,0.182,306,4.3,9.6,7.1,10.5,2.2,0.9,16.6,17.3,1.3,2.0,3.4,0.13,2.7,3.4,6.1,,Ochai Agbaji,ochai-agbaji-1,Ochai Agbaji,ochai-agbaji-1
2020-21,Kansas,Big 12,JR,G,30,30,33.7,4.9,11.7,0.42,2.6,6.9,0.377,2.3,4.8,0.483,0.531,1.7,2.5,0.689,1.0,2.7,3.7,1.9,1.1,0.5,1.4,1.8,14.1,,Ochai Agbaji,ochai-agbaji-1,Big 12,JR,G,30,30,1010,17.0,0.549,0.591,0.211,383,3.2,9.0,6.1,10.9,1.9,1.5,9.6,21.0,2.3,1.5,3.7,0.148,4.4,2.4,6.7,,Ochai Agbaji,ochai-agbaji-1,Ochai Agbaji,ochai-agbaji-1
2021-22,Kansas,Big 12,SR,G,39,39,35.1,6.6,13.9,0.475,2.6,6.5,0.407,4.0,7.4,0.534,0.57,2.9,3.9,0.743,0.8,4.2,5.1,1.6,0.9,0.6,2.1,1.7,18.8,"AA-1,AP-AA-1,NABC-AA-1,SN-AA-1,USBWA-AA-1,W-AA-1",Ochai Agbaji,ochai-agbaji-1,Big 12,SR,G,39,39,1367,20.8,0.595,0.466,0.28,631,2.8,12.9,8.2,8.7,1.5,1.7,11.5,25.3,4.0,2.2,6.2,0.181,6.9,2.2,9.0,"AA-1,AP-AA-1,NABC-AA-1,SN-AA-1,USBWA-AA-1,W-AA-1",Ochai Agbaji,ochai-agbaji-1,Ochai Agbaji,ochai-agbaji-1
2014-15,Illinois State,MVC,JR,G,28,18,26.2,4.2,9.9,0.424,1.1,3.2,0.333,3.1,6.7,0.468,0.478,3.3,4.2,0.771,1.8,3.9,5.6,1.3,1.0,0.2,1.9,1.9,12.8,,DeVaughn Akoon-Purcell,devaughn-akoon-purcell-1,MVC,JR,G,28,18,734,21.8,0.534,0.324,0.424,338,8.0,18.0,12.9,11.5,2.4,0.8,13.9,27.6,1.8,1.4,3.2,0.175,4.8,1.3,6.1,,DeVaughn Akoon-Purcell,devaughn-akoon-purcell-1,DeVaughn Akoon-Purcell,devaughn-akoon-purcell-1
2015-16,Illinois State,MVC,SR,G,32,30,28.0,4.9,11.4,0.431,0.6,2.3,0.26,4.3,9.1,0.474,0.457,3.7,5.2,0.715,1.6,3.3,4.9,1.9,0.9,0.4,2.7,1.9,14.1,,DeVaughn Akoon-Purcell,devaughn-akoon-purcell-1,MVC,SR,G,32,30,895,18.0,0.51,0.201,0.453,434,6.3,13.9,10.0,16.1,2.0,1.7,16.3,30.1,0.9,1.6,2.5,0.111,2.0,0.6,2.6,,DeVaughn Akoon-Purcell,devaughn-akoon-purcell-1,DeVaughn Akoon-Purcell,devaughn-akoon-purcell-1
2019-20,Loyola (MD),Patriot,FR,F,10,9,30.4,6.1,13.3,0.459,1.3,6.0,0.217,4.8,7.3,0.658,0.508,1.7,3.3,0.515,1.5,6.1,7.6,2.1,0.9,1.7,2.3,2.3,15.2,,Santi Aldama,santi-aldama-1,Patriot,FR,F,10,9,304,20.4,0.511,0.451,0.248,139,5.9,22.3,14.4,15.6,1.7,6.2,13.4,28.3,0.3,0.4,0.7,0.097,1.0,-0.4,0.6,,Santi Aldama,santi-aldama-1,Santi Aldama,santi-aldama-1
